Site,s_graph_value,s_table_name
Guildford_Downstream_Surface,Conductivity @ 25 deg C,sensor_repository_81658
Guildford_Downstream_Bottom,Conductivity @ 25 deg C,sensor_repository_81672
Guildford_Upstream_Surface,Conductivity @ 25 deg C,sensor_repository_81756
Guildford_Upstream_Bottom,Conductivity @ 25 deg C,sensor_repository_81742
Caversham_Downstream_Surface,Conductivity @ 25 deg C,sensor_repository_81798
Caversham_Downstream_Bottom,Conductivity @ 25 deg C,sensor_repository_81812
Caversham_Upstream_Surface,Conductivity @ 25 deg C,sensor_repository_81826
Caversham_Upstream_Bottom,Conductivity @ 25 deg C,sensor_repository_81840
Nicholson_Upstream,Conductivity @ 25 deg C,sensor_repository_81784
Nicholson_Downstream,Conductivity @ 25 deg C,sensor_repository_81770
Bacon_Upstream,Conductivity @ 25 deg C,sensor_repository_81700
Bacon_Downstream,Conductivity @ 25 deg C,sensor_repository_81686
Guildford_Downstream_Surface,Depth (mBWL),sensor_repository_81653
Guildford_Downstream_Bottom,Depth (mBWL),sensor_repository_81667
Guildford_Upstream_Surface,Depth (mBWL),sensor_repository_81751
Guildford_Upstream_Bottom,Depth (mBWL),sensor_repository_81737
Caversham_Downstream_Surface,Depth (mBWL),sensor_repository_81793
Caversham_Downstream_Bottom,Depth (mBWL),sensor_repository_81807
Caversham_Upstream_Surface,Depth (mBWL),sensor_repository_81821
Caversham_Upstream_Bottom,Depth (mBWL),sensor_repository_81835
Nicholson_Upstream,Depth (mBWL),sensor_repository_81779
Nicholson_Downstream,Depth (mBWL),sensor_repository_81765
Bacon_Upstream,Depth (mBWL),sensor_repository_81695
Bacon_Downstream,Depth (mBWL),sensor_repository_81681
Guildford_Downstream_Bottom,Dissolved Oxygen (mg/L),sensor_repository_81668
Guildford_Upstream_Surface,Dissolved Oxygen (mg/L),sensor_repository_81752
Guildford_Upstream_Bottom,Dissolved Oxygen (mg/L),sensor_repository_81738
Caversham_Downstream_Surface,Dissolved Oxygen (mg/L),sensor_repository_81794
Caversham_Downstream_Bottom,Dissolved Oxygen (mg/L),sensor_repository_81808
Caversham_Upstream_Surface,Dissolved Oxygen (mg/L),sensor_repository_81822
Caversham_Upstream_Bottom,Dissolved Oxygen (mg/L),sensor_repository_81836
Nicholson_Upstream,Dissolved Oxygen (mg/L),sensor_repository_81780
Nicholson_Downstream,Dissolved Oxygen (mg/L),sensor_repository_81766
Bacon_Upstream,Dissolved Oxygen (mg/L),sensor_repository_81696
Bacon_Downstream,Dissolved Oxygen (mg/L),sensor_repository_81682
Guildford_Downstream_Surface,Dissolved Oxygen (mg/L),sensor_repository_81654
Guildford_Downstream_Surface,Dissolved Oxygen (% saturation),sensor_repository_81655
Guildford_Downstream_Bottom,Dissolved Oxygen (% saturation),sensor_repository_81669
Guildford_Upstream_Surface,Dissolved Oxygen (% saturation),sensor_repository_81753
Guildford_Upstream_Bottom,Dissolved Oxygen (% saturation),sensor_repository_81739
Caversham_Downstream_Surface,Dissolved Oxygen (% saturation),sensor_repository_81795
Caversham_Downstream_Bottom,Dissolved Oxygen (% saturation),sensor_repository_81809
Caversham_Upstream_Surface,Dissolved Oxygen (% saturation),sensor_repository_81823
Caversham_Upstream_Bottom,Dissolved Oxygen (% saturation),sensor_repository_81837
Nicholson_Upstream,Dissolved Oxygen (% saturation),sensor_repository_81781
Nicholson_Downstream,Dissolved Oxygen (% saturation),sensor_repository_81767
Bacon_Upstream,Dissolved Oxygen (% saturation),sensor_repository_81697
Bacon_Downstream,Dissolved Oxygen (% saturation),sensor_repository_81683
Guildford_Downstream_Surface,pH,sensor_repository_81659
Guildford_Downstream_Bottom,pH,sensor_repository_81673
Guildford_Upstream_Surface,pH,sensor_repository_81757
Guildford_Upstream_Bottom,pH,sensor_repository_81743
Caversham_Downstream_Surface,pH,sensor_repository_81799
Caversham_Downstream_Bottom,pH,sensor_repository_81813
Caversham_Upstream_Surface,pH,sensor_repository_81827
Caversham_Upstream_Bottom,pH,sensor_repository_81841
Nicholson_Upstream,pH,sensor_repository_81785
Nicholson_Downstream,pH,sensor_repository_81771
Bacon_Upstream,pH,sensor_repository_81701
Bacon_Downstream,pH,sensor_repository_81687
Guildford_Downstream_Surface,Salinity (ppt),sensor_repository_81657
Guildford_Downstream_Bottom,Salinity (ppt),sensor_repository_81671
Guildford_Upstream_Surface,Salinity (ppt),sensor_repository_81755
Guildford_Upstream_Bottom,Salinity (ppt),sensor_repository_81741
Caversham_Downstream_Surface,Salinity (ppt),sensor_repository_81797
Caversham_Downstream_Bottom,Salinity (ppt),sensor_repository_81811
Caversham_Upstream_Surface,Salinity (ppt),sensor_repository_81825
Caversham_Upstream_Bottom,Salinity (ppt),sensor_repository_81839
Nicholson_Upstream,Salinity (ppt),sensor_repository_81783
Nicholson_Downstream,Salinity (ppt),sensor_repository_81769
Bacon_Upstream,Salinity (ppt),sensor_repository_81699
Bacon_Downstream,Salinity (ppt),sensor_repository_81685
Guildford_Downstream_Surface,Temperature (deg C),sensor_repository_81656
Guildford_Downstream_Bottom,Temperature (deg C),sensor_repository_81670
Guildford_Upstream_Surface,Temperature (deg C),sensor_repository_81754
Guildford_Upstream_Bottom,Temperature (deg C),sensor_repository_81740
Caversham_Downstream_Surface,Temperature (deg C),sensor_repository_81796
Caversham_Downstream_Bottom,Temperature (deg C),sensor_repository_81810
Caversham_Upstream_Surface,Temperature (deg C),sensor_repository_81824
Caversham_Upstream_Bottom,Temperature (deg C),sensor_repository_81838
Nicholson_Upstream,Temperature (deg C),sensor_repository_81782
Nicholson_Downstream,Temperature (deg C),sensor_repository_81768
Bacon_Upstream,Temperature (deg C),sensor_repository_81698
Bacon_Downstream,Temperature (deg C),sensor_repository_81684
